dateSeen,brand,name,categories,prices_before,prices_after,prices_disc,availability,views
04/06/19 07:00,Brinley Co.,Women's Extra Wide-Calf Knee-High Studded Riding Boots,Boots,40.39,39.99,0.99%,TRUE,1
04/06/19 07:00,Brinley Co.,Womens Wide-Calf Buckle Knee-High Slouch Boot,Boots,40.39,39.99,0.99%,FALSE,1
04/06/19 07:00,Brinley Co.,Brinley Co Womens Wide-Calf Buckle Knee-High Slouch Microsuede Boot,Boots,35.34,34.99,0.99%,TRUE,1
04/06/19 07:00,Brinley Co.,Womens Wide-Calf Knee-High Side-Zipper Buckle Riding Boot,Boots,47.46,46.99,0.99%,TRUE,1
04/06/19 07:00,Brinley Co.,Women's Extra Wide-Calf Ankle Strap Knee-High Riding Boots,Boots,50.49,49.99,0.99%,TRUE,1
04/06/19 07:00,Brinley Co.,Womens Extra Wide-Calf Slouch Buckle Wedge Knee-High Boot,Boots,47.31,28.5,39.76%,TRUE,1
04/06/19 07:00,Brinley Co.,Women's Wide-Calf Buckle Knee-High Slouch Microsuede Boot,Boots,35.34,34.99,0.99%,FALSE,1
04/06/19 08:00,Brinley Co.,Women's Round Toe Buckle Detail Boots,Boots,64.38,39.99,37.88%,TRUE,22
04/06/19 08:00,Brinley Co.,Womens Wide Calf Round Toe Buckle Detail Boots,Boots,45.28,26.95,40.48%,TRUE,2
04/06/19 08:00,Brinley Co.,Womens Wide Calf Slouchy Buckle Detail Boots,Boots,40.39,39.99,0.99%,TRUE,2
04/06/19 08:00,Brinley Co.,Womens Slouchy Round Toe Boots,Boots,38.8,23.95,38.27%,TRUE,2
04/06/19 08:00,Brinley Co.,Women's Wide Calf Slouchy Round Toe Boots,Boots,37.36,36.99,0.99%,FALSE,3
04/06/19 08:00,Bearpaw,Bearpaw Women's Abigail Boot,Boots,67.58,48.97,27.54%,FALSE,1
04/06/19 08:00,Brinley Co.,Women's Wide Calf Buckle Detail Boots,Boots,29.8,29.5,1.01%,TRUE,1
04/06/19 08:00,Brinley Co.,Brinley Co. Womens Slouchy Buckle Detail Boots,Boots,57.19,39.99,30.08%,TRUE,2
